Shipment_ID,Region,Carrier,Warehouse,Package_Weight_KG,Shipping_Cost_USD,Estimated_Days,Actual_Days,Delay_Days,On_Time_Delivery
SHP-60355,Latin America,FedEx,WH-East,39.5,271.02,10,10,0,1
SHP-60356,Europe,FedEx,WH-South,20.2,92.49,4,4,0,1
SHP-60357,Asia Pacific,UPS Global,WH-Central,42.2,311.06,5,5,0,1
SHP-60358,Latin America,Regional Post,WH-East,12.6,62.2,7,7,0,1
SHP-60359,Latin America,DHL Express,WH-West,18.1,91.91,5,5,0,1
SHP-60360,North America,Regional Post,WH-West,6.2,48.44,9,9,0,1
SHP-60361,Asia Pacific,UPS Global,WH-East,38.0,195.5,3,3,0,1
SHP-60362,Latin America,UPS Global,WH-South,18.6,77.5,8,8,0,1
SHP-60363,Latin America,Regional Post,WH-West,37.1,240.58,4,4,0,1
SHP-60364,Europe,Regional Post,WH-East,39.1,278.24,9,9,0,1
SHP-60365,North America,Regional Post,WH-West,36.7,226.67,10,10,0,1
SHP-60366,Europe,DHL Express,WH-East,5.3,49.41,8,8,0,1
SHP-60367,Asia Pacific,DHL Express,WH-West,4.1,32.79,4,4,0,1
SHP-60368,Latin America,UPS Global,WH-South,21.9,178.7,7,7,0,1
SHP-60369,Europe,FedEx,WH-West,42.1,340.45,7,7,0,1
SHP-60370,Latin America,Regional Post,WH-Central,22.8,151.36,2,2,0,1
SHP-60371,Asia Pacific,UPS Global,WH-Central,21.8,106.84,2,8,6,0
SHP-60372,Europe,FedEx,WH-Central,36.0,175.37,9,9,0,1
SHP-60373,North America,UPS Global,WH-West,38.4,197.71,10,10,0,1
SHP-60374,North America,DHL Express,WH-West,41.0,244.39,4,4,0,1
SHP-60375,Europe,UPS Global,WH-East,35.3,267.3,8,8,0,1
SHP-60376,Latin America,UPS Global,WH-South,10.4,81.99,7,8,1,0
SHP-60377,North America,FedEx,WH-West,1.0,16.14,7,7,0,1
SHP-60378,North America,UPS Global,WH-South,0.7,17.46,4,5,1,0
SHP-60379,Europe,FedEx,WH-East,11.0,94.2,5,5,0,1
SHP-60380,North America,DHL Express,WH-South,24.4,98.58,8,16,8,0
SHP-60381,Europe,UPS Global,WH-Central,16.8,105.45,5,13,8,0
SHP-60382,North America,DHL Express,WH-West,29.8,228.52,6,8,2,0
SHP-60383,North America,FedEx,WH-East,28.4,223.99,2,2,0,1
SHP-60384,Asia Pacific,Regional Post,WH-East,12.9,92.24,8,10,2,0
SHP-60385,Latin America,UPS Global,WH-East,17.2,81.02,3,3,0,1
SHP-60386,Europe,FedEx,WH-Central,5.5,48.59,4,4,0,1
SHP-60387,Asia Pacific,DHL Express,WH-East,1.6,19.44,5,5,0,1
SHP-60388,Europe,DHL Express,WH-West,25.8,179.61,4,4,0,1
SHP-60389,Asia Pacific,DHL Express,WH-Central,44.2,269.51,7,7,0,1
SHP-60390,Asia Pacific,DHL Express,WH-South,38.2,155.11,3,3,0,1
SHP-60391,Asia Pacific,FedEx,WH-West,43.4,163.91,9,9,0,1
SHP-60392,Asia Pacific,FedEx,WH-East,36.0,295.73,5,5,0,1
SHP-60393,North America,UPS Global,WH-East,28.3,187.0,10,10,0,1
SHP-60394,Latin America,Regional Post,WH-West,1.5,18.0,3,3,0,1
SHP-60395,Europe,DHL Express,WH-South,31.2,267.77,3,3,0,1
SHP-60396,North America,DHL Express,WH-Central,30.5,248.05,10,10,0,1
SHP-60397,North America,Regional Post,WH-Central,30.1,171.17,4,4,0,1
SHP-60398,North America,DHL Express,WH-West,28.6,206.94,5,5,0,1
SHP-60399,Asia Pacific,FedEx,WH-West,27.6,125.57,4,12,8,0
SHP-60400,Asia Pacific,Regional Post,WH-Central,18.8,142.35,3,3,0,1
SHP-60401,Latin America,Regional Post,WH-East,40.3,180.01,6,6,0,1
SHP-60402,North America,DHL Express,WH-West,1.5,24.14,9,11,2,0
SHP-60403,Europe,FedEx,WH-Central,34.9,229.83,2,2,0,1
SHP-60404,Europe,DHL Express,WH-South,25.2,202.84,10,10,0,1
SHP-60405,Latin America,DHL Express,WH-West,42.4,324.88,4,4,0,1
SHP-60406,Europe,UPS Global,WH-Central,2.5,20.91,8,8,0,1
SHP-60407,Latin America,Regional Post,WH-Central,14.7,67.65,7,7,0,1
SHP-60408,Europe,FedEx,WH-Central,36.0,182.31,3,3,0,1
SHP-60409,North America,Regional Post,WH-East,13.4,111.09,10,11,1,0
SHP-60410,North America,UPS Global,WH-South,43.9,236.11,8,10,2,0
SHP-60411,North America,Regional Post,WH-West,26.4,125.53,10,12,2,0
SHP-60412,Europe,UPS Global,WH-Central,10.5,75.62,5,6,1,0
SHP-60413,Latin America,Regional Post,WH-West,9.8,48.62,4,4,0,1
SHP-60414,North America,UPS Global,WH-West,2.4,24.5,6,7,1,0
SHP-60415,Europe,UPS Global,WH-Central,2.8,28.87,7,7,0,1
SHP-60416,Asia Pacific,DHL Express,WH-South,33.7,240.65,7,7,0,1
SHP-60417,Asia Pacific,UPS Global,WH-Central,39.1,278.33,4,4,0,1
SHP-60418,North America,UPS Global,WH-Central,14.7,82.13,3,4,1,0
SHP-60419,North America,DHL Express,WH-South,40.1,259.84,6,6,0,1
SHP-60420,Asia Pacific,UPS Global,WH-West,8.7,63.45,4,4,0,1
SHP-60421,Asia Pacific,Regional Post,WH-Central,7.4,70.95,8,8,0,1
SHP-60422,North America,UPS Global,WH-Central,37.1,201.32,6,6,0,1
SHP-60423,Latin America,UPS Global,WH-East,39.7,187.75,10,10,0,1
SHP-60424,North America,DHL Express,WH-Central,32.5,211.85,4,4,0,1
SHP-60425,North America,UPS Global,WH-South,7.6,73.73,3,3,0,1
SHP-60426,Latin America,UPS Global,WH-Central,17.9,149.61,8,8,0,1
SHP-60427,North America,DHL Express,WH-Central,37.0,282.8,5,7,2,0
SHP-60428,North America,DHL Express,WH-Central,18.1,100.47,9,9,0,1
SHP-60429,Asia Pacific,UPS Global,WH-South,25.7,204.54,6,6,0,1
SHP-60430,Latin America,FedEx,WH-Central,28.0,238.86,10,11,1,0
SHP-60431,Latin America,FedEx,WH-Central,34.1,270.8,6,6,0,1
SHP-60432,Latin America,DHL Express,WH-South,41.5,228.24,8,8,0,1
SHP-60433,Latin America,Regional Post,WH-Central,1.1,16.95,8,8,0,1
SHP-60434,Latin America,DHL Express,WH-South,5.7,33.44,8,8,0,1
SHP-60435,Latin America,FedEx,WH-West,13.0,93.22,8,8,0,1
SHP-60436,Europe,UPS Global,WH-Central,9.4,71.43,4,4,0,1
SHP-60437,Asia Pacific,DHL Express,WH-Central,19.0,142.19,5,5,0,1
SHP-60438,Asia Pacific,Regional Post,WH-South,28.6,121.4,5,5,0,1
SHP-60439,North America,DHL Express,WH-East,43.0,354.24,8,8,0,1
SHP-60440,North America,UPS Global,WH-West,13.1,119.3,2,5,3,0
SHP-60441,North America,Regional Post,WH-Central,41.5,276.42,10,10,0,1
SHP-60442,North America,Regional Post,WH-East,23.3,127.69,6,6,0,1
SHP-60443,Latin America,Regional Post,WH-East,43.5,300.92,7,7,0,1
SHP-60444,Latin America,UPS Global,WH-South,36.1,142.7,8,8,0,1
SHP-60445,Europe,FedEx,WH-Central,6.3,57.15,8,9,1,0
SHP-60446,Europe,DHL Express,WH-South,10.5,67.86,7,7,0,1
SHP-60447,Latin America,Regional Post,WH-West,45.0,181.32,2,2,0,1
SHP-60448,Europe,Regional Post,WH-South,34.2,280.72,5,5,0,1
SHP-60449,Latin America,Regional Post,WH-East,42.4,251.98,8,8,0,1
SHP-60450,Latin America,DHL Express,WH-South,11.9,103.87,4,4,0,1
SHP-60451,Europe,FedEx,WH-Central,38.8,253.96,6,6,0,1
SHP-60452,Asia Pacific,Regional Post,WH-West,12.4,70.7,3,3,0,1
SHP-60453,Asia Pacific,FedEx,WH-South,4.8,46.85,3,4,1,0
SHP-60454,Asia Pacific,Regional Post,WH-East,43.4,213.72,10,10,0,1
SHP-60455,North America,Regional Post,WH-East,10.3,59.62,3,3,0,1
SHP-60456,Latin America,Regional Post,WH-East,15.6,127.07,2,2,0,1
SHP-60457,Asia Pacific,DHL Express,WH-West,24.7,143.2,8,8,0,1
SHP-60458,Europe,UPS Global,WH-Central,19.0,129.58,3,3,0,1
SHP-60459,Latin America,UPS Global,WH-South,10.0,79.56,2,2,0,1
SHP-60460,North America,UPS Global,WH-Central,4.8,37.57,8,8,0,1
SHP-60461,North America,FedEx,WH-East,18.2,103.75,10,11,1,0
SHP-60462,Latin America,DHL Express,WH-East,13.4,91.33,2,2,0,1
SHP-60463,North America,UPS Global,WH-South,40.3,341.6,10,10,0,1
SHP-60464,Latin America,UPS Global,WH-Central,35.3,276.51,4,5,1,0
SHP-60465,Latin America,DHL Express,WH-West,24.5,166.65,4,4,0,1
SHP-60466,Europe,UPS Global,WH-Central,34.2,264.9,6,9,3,0
SHP-60467,North America,UPS Global,WH-South,40.9,194.03,2,2,0,1
SHP-60468,Asia Pacific,FedEx,WH-South,3.8,30.25,7,7,0,1
SHP-60469,Latin America,FedEx,WH-Central,16.9,121.99,8,8,0,1
SHP-60470,Asia Pacific,DHL Express,WH-West,23.5,103.51,5,5,0,1
SHP-60471,Latin America,FedEx,WH-East,43.8,215.19,5,5,0,1
SHP-60472,Asia Pacific,Regional Post,WH-West,18.1,140.35,7,7,0,1
SHP-60473,North America,DHL Express,WH-Central,30.6,240.12,5,5,0,1
SHP-60474,Latin America,FedEx,WH-West,9.5,59.62,4,4,0,1
SHP-60475,Europe,FedEx,WH-Central,43.2,181.16,4,9,5,0
SHP-60476,Latin America,UPS Global,WH-West,37.0,179.62,10,10,0,1
SHP-60477,Latin America,FedEx,WH-South,34.6,261.24,10,10,0,1
SHP-60478,Europe,UPS Global,WH-Central,18.4,145.44,7,7,0,1
SHP-60479,Europe,DHL Express,WH-East,21.4,151.19,2,2,0,1
SHP-60480,North America,Regional Post,WH-East,24.9,150.19,6,7,1,0
SHP-60481,Asia Pacific,FedEx,WH-Central,16.7,121.88,9,9,0,1
SHP-60482,Latin America,DHL Express,WH-Central,39.6,270.3,8,9,1,0
SHP-60483,Latin America,DHL Express,WH-East,33.9,237.82,5,5,0,1
SHP-60484,Europe,DHL Express,WH-West,9.0,53.14,8,8,0,1
SHP-60485,Latin America,UPS Global,WH-South,10.7,99.0,10,11,1,0
SHP-60486,North America,FedEx,WH-Central,1.8,24.43,6,6,0,1
SHP-60487,North America,Regional Post,WH-West,23.1,159.1,10,10,0,1
SHP-60488,Asia Pacific,FedEx,WH-Central,40.2,257.46,3,3,0,1
SHP-60489,Latin America,FedEx,WH-West,3.7,26.08,6,6,0,1
SHP-60490,Latin America,Regional Post,WH-Central,24.0,122.36,6,6,0,1
SHP-60491,Latin America,Regional Post,WH-South,24.1,166.1,2,2,0,1
SHP-60492,Latin America,FedEx,WH-South,1.2,21.28,9,9,0,1
SHP-60493,Asia Pacific,Regional Post,WH-Central,10.8,83.49,2,2,0,1
SHP-60494,Europe,UPS Global,WH-South,1.9,21.02,7,7,0,1
SHP-60495,Asia Pacific,FedEx,WH-West,16.8,111.22,9,9,0,1
SHP-60496,Europe,DHL Express,WH-East,26.4,133.36,10,12,2,0
SHP-60497,Latin America,UPS Global,WH-West,0.8,15.25,8,8,0,1
SHP-60498,North America,Regional Post,WH-Central,35.7,294.61,5,5,0,1
SHP-60499,Asia Pacific,Regional Post,WH-South,34.4,286.8,2,2,0,1
SHP-60500,Asia Pacific,FedEx,WH-South,2.3,25.61,8,8,0,1
SHP-60501,Asia Pacific,UPS Global,WH-Central,28.6,203.76,5,5,0,1
SHP-60502,North America,UPS Global,WH-West,41.9,239.59,6,6,0,1
SHP-60503,North America,Regional Post,WH-South,22.9,119.88,9,9,0,1
SHP-60504,North America,UPS Global,WH-Central,11.6,95.52,4,4,0,1
SHP-60505,Europe,UPS Global,WH-East,13.3,58.97,9,10,1,0
SHP-60506,North America,FedEx,WH-East,35.0,141.04,10,10,0,1
SHP-60507,Latin America,Regional Post,WH-Central,36.2,149.85,6,6,0,1
SHP-60508,Latin America,UPS Global,WH-South,3.3,25.16,9,9,0,1
SHP-60509,Latin America,UPS Global,WH-East,1.8,21.69,5,5,0,1
SHP-60510,Latin America,FedEx,WH-Central,19.3,164.08,2,4,2,0
SHP-60511,Latin America,Regional Post,WH-Central,38.2,205.88,10,10,0,1
SHP-60512,Latin America,Regional Post,WH-West,19.5,151.64,5,5,0,1
SHP-60513,North America,DHL Express,WH-West,12.8,90.59,3,3,0,1
SHP-60514,Asia Pacific,Regional Post,WH-Central,40.5,284.97,3,3,0,1
SHP-60515,Asia Pacific,DHL Express,WH-South,23.3,169.17,9,9,0,1
SHP-60516,Europe,DHL Express,WH-West,41.3,250.69,2,2,0,1
SHP-60517,Latin America,DHL Express,WH-West,9.3,74.72,10,11,1,0
SHP-60518,Europe,FedEx,WH-South,35.5,166.86,6,9,3,0
SHP-60519,Latin America,UPS Global,WH-East,5.1,33.06,8,8,0,1
SHP-60520,Latin America,DHL Express,WH-Central,3.6,29.14,9,9,0,1
SHP-60521,North America,Regional Post,WH-West,5.7,40.41,5,5,0,1
SHP-60522,Latin America,FedEx,WH-South,23.3,136.74,3,5,2,0
SHP-60523,North America,FedEx,WH-West,31.0,161.37,6,6,0,1
SHP-60524,North America,FedEx,WH-Central,29.9,242.78,10,10,0,1
SHP-60525,Latin America,UPS Global,WH-West,17.2,96.89,10,10,0,1
SHP-60526,Asia Pacific,FedEx,WH-East,13.8,109.68,6,6,0,1
SHP-60527,Europe,Regional Post,WH-South,41.7,289.21,8,8,0,1
SHP-60528,Europe,Regional Post,WH-South,25.4,110.0,7,7,0,1
SHP-60529,Europe,FedEx,WH-Central,36.8,311.17,5,5,0,1
SHP-60530,Europe,Regional Post,WH-West,8.9,50.39,8,8,0,1
SHP-60531,North America,DHL Express,WH-Central,14.3,99.82,2,2,0,1
SHP-60532,Europe,DHL Express,WH-Central,6.8,50.74,7,7,0,1
SHP-60533,North America,FedEx,WH-East,14.5,130.18,10,10,0,1
SHP-60534,Asia Pacific,UPS Global,WH-West,25.6,153.72,4,8,4,0
SHP-60535,Europe,Regional Post,WH-East,2.1,25.02,8,8,0,1
SHP-60536,Asia Pacific,FedEx,WH-East,28.5,216.99,4,4,0,1
SHP-60537,Europe,UPS Global,WH-Central,10.2,67.59,4,4,0,1
SHP-60538,Europe,DHL Express,WH-South,19.1,110.3,7,7,0,1
SHP-60539,Latin America,Regional Post,WH-East,41.5,243.15,2,2,0,1
SHP-60540,North America,DHL Express,WH-Central,43.7,345.55,9,9,0,1
SHP-60541,Asia Pacific,FedEx,WH-West,44.3,328.46,9,9,0,1
SHP-60542,Europe,Regional Post,WH-East,43.9,263.78,3,3,0,1
SHP-60543,Asia Pacific,Regional Post,WH-East,31.1,225.78,9,9,0,1
SHP-60544,North America,Regional Post,WH-Central,41.3,254.55,3,3,0,1
SHP-60545,North America,Regional Post,WH-West,11.0,61.12,10,11,1,0
SHP-60546,Latin America,DHL Express,WH-Central,21.7,123.1,8,8,0,1
SHP-60547,Europe,DHL Express,WH-East,42.9,329.2,6,6,0,1
SHP-60548,North America,UPS Global,WH-East,19.8,111.87,8,8,0,1
SHP-60549,North America,DHL Express,WH-West,40.6,329.93,10,10,0,1
SHP-60550,North America,UPS Global,WH-South,38.2,251.46,2,4,2,0
SHP-60551,Asia Pacific,FedEx,WH-West,21.5,184.75,5,5,0,1
SHP-60552,Latin America,FedEx,WH-West,5.4,52.92,6,6,0,1
SHP-60553,North America,FedEx,WH-South,31.0,229.42,8,8,0,1
SHP-60554,Europe,FedEx,WH-South,17.8,87.88,5,5,0,1
SHP-60555,North America,DHL Express,WH-West,13.4,113.61,6,6,0,1
SHP-60556,Latin America,Regional Post,WH-West,1.9,24.94,10,10,0,1
SHP-60557,Europe,DHL Express,WH-East,25.0,123.25,8,8,0,1
SHP-60558,Asia Pacific,FedEx,WH-Central,26.7,129.53,7,7,0,1
SHP-60559,Europe,Regional Post,WH-West,22.7,186.05,6,6,0,1
SHP-60560,Europe,UPS Global,WH-Central,31.0,250.71,10,10,0,1
SHP-60561,North America,FedEx,WH-West,25.8,197.87,4,4,0,1
SHP-60562,Europe,FedEx,WH-West,31.8,249.23,7,9,2,0
SHP-60563,Latin America,DHL Express,WH-Central,41.6,213.44,6,9,3,0
SHP-60564,Asia Pacific,Regional Post,WH-Central,16.2,82.63,3,3,0,1
SHP-60565,Latin America,DHL Express,WH-South,2.0,26.99,6,6,0,1
SHP-60566,North America,UPS Global,WH-East,1.1,18.28,3,3,0,1
SHP-60567,Latin America,Regional Post,WH-South,33.9,248.5,8,8,0,1
SHP-60568,North America,UPS Global,WH-Central,33.9,179.06,9,9,0,1
SHP-60569,Europe,Regional Post,WH-Central,10.7,60.24,5,6,1,0
SHP-60570,Asia Pacific,FedEx,WH-South,7.1,47.27,9,9,0,1
SHP-60571,North America,FedEx,WH-West,17.3,120.65,3,6,3,0
SHP-60572,Europe,Regional Post,WH-West,41.6,166.69,3,3,0,1
SHP-60573,Asia Pacific,UPS Global,WH-West,38.9,284.26,2,3,1,0
SHP-60574,North America,UPS Global,WH-West,23.1,178.02,9,10,1,0
SHP-60575,Asia Pacific,DHL Express,WH-East,9.6,84.48,6,6,0,1
SHP-60576,Latin America,Regional Post,WH-West,19.6,101.11,9,9,0,1
SHP-60577,Europe,UPS Global,WH-South,3.6,30.2,5,8,3,0
SHP-60578,Asia Pacific,UPS Global,WH-South,27.6,236.58,7,9,2,0
SHP-60579,Asia Pacific,DHL Express,WH-Central,26.6,180.74,8,8,0,1
SHP-60580,Europe,UPS Global,WH-South,28.7,246.84,9,9,0,1
SHP-60581,Latin America,DHL Express,WH-East,29.7,121.48,3,3,0,1
SHP-60582,North America,UPS Global,WH-West,20.1,134.88,3,3,0,1
SHP-60583,Asia Pacific,DHL Express,WH-Central,21.6,132.41,5,6,1,0
SHP-60584,North America,UPS Global,WH-Central,14.8,132.46,3,3,0,1
SHP-60585,Europe,FedEx,WH-West,23.6,120.66,9,9,0,1
SHP-60586,North America,Regional Post,WH-Central,38.3,299.08,10,10,0,1
SHP-60587,Europe,Regional Post,WH-Central,22.3,100.11,10,10,0,1
SHP-60588,Europe,FedEx,WH-East,31.1,170.69,7,7,0,1
SHP-60589,Latin America,DHL Express,WH-South,14.6,101.13,3,3,0,1
SHP-60590,Europe,DHL Express,WH-East,33.1,224.3,4,5,1,0
SHP-60591,Latin America,FedEx,WH-East,19.2,117.84,4,4,0,1
SHP-60592,Europe,Regional Post,WH-East,26.9,144.74,3,3,0,1
SHP-60593,North America,FedEx,WH-West,27.1,132.48,10,10,0,1
SHP-60594,Europe,Regional Post,WH-Central,34.2,271.88,4,4,0,1
SHP-60595,North America,FedEx,WH-East,15.9,114.6,4,5,1,0
SHP-60596,North America,Regional Post,WH-South,8.3,78.38,4,5,1,0
SHP-60597,Latin America,FedEx,WH-South,24.1,110.79,2,2,0,1
SHP-60598,Asia Pacific,FedEx,WH-South,2.7,22.32,3,3,0,1
SHP-60599,North America,FedEx,WH-West,41.3,249.75,10,10,0,1
SHP-60600,North America,DHL Express,WH-West,7.9,44.71,5,5,0,1
SHP-60601,Latin America,UPS Global,WH-West,42.8,180.94,3,5,2,0
SHP-60602,Asia Pacific,UPS Global,WH-West,40.9,164.2,7,7,0,1
SHP-60603,North America,DHL Express,WH-East,27.5,201.79,3,3,0,1
SHP-60604,Asia Pacific,DHL Express,WH-East,43.7,177.93,7,8,1,0
SHP-60605,North America,FedEx,WH-West,32.8,179.77,3,3,0,1
SHP-60606,Latin America,UPS Global,WH-East,44.5,205.75,9,9,0,1
SHP-60607,Europe,DHL Express,WH-South,11.5,52.7,3,7,4,0
SHP-60608,Latin America,DHL Express,WH-East,1.9,21.95,6,7,1,0
SHP-60609,North America,Regional Post,WH-Central,34.0,141.26,7,7,0,1
SHP-60610,Asia Pacific,FedEx,WH-Central,41.9,171.53,4,4,0,1
SHP-60611,Europe,Regional Post,WH-West,13.9,117.31,2,2,0,1
SHP-60612,Europe,FedEx,WH-Central,21.7,89.33,3,3,0,1
SHP-60613,Europe,UPS Global,WH-South,9.0,70.85,6,6,0,1
SHP-60614,Asia Pacific,UPS Global,WH-East,5.0,38.22,9,9,0,1
SHP-60615,Latin America,DHL Express,WH-South,38.0,209.45,8,8,0,1
SHP-60616,Latin America,FedEx,WH-South,3.7,39.75,8,8,0,1
SHP-60617,Europe,DHL Express,WH-West,1.4,18.26,7,8,1,0
SHP-60618,Europe,DHL Express,WH-Central,28.2,237.76,10,12,2,0
SHP-60619,Latin America,DHL Express,WH-South,27.4,115.9,10,10,0,1
SHP-60620,Latin America,UPS Global,WH-Central,3.2,29.8,10,10,0,1
SHP-60621,Asia Pacific,FedEx,WH-Central,13.0,103.04,4,4,0,1
SHP-60622,Europe,Regional Post,WH-West,27.1,150.64,10,12,2,0
SHP-60623,Europe,FedEx,WH-Central,41.2,325.33,6,6,0,1
SHP-60624,Asia Pacific,UPS Global,WH-West,26.0,206.17,4,4,0,1
SHP-60625,Latin America,Regional Post,WH-East,9.0,66.06,8,10,2,0
SHP-60626,North America,DHL Express,WH-East,9.6,50.86,9,9,0,1
SHP-60627,North America,Regional Post,WH-South,30.1,191.55,4,4,0,1
SHP-60628,Europe,DHL Express,WH-East,41.6,245.72,9,9,0,1
SHP-60629,Asia Pacific,DHL Express,WH-East,27.5,108.94,8,8,0,1
SHP-60630,Asia Pacific,DHL Express,WH-Central,18.7,111.22,8,11,3,0
SHP-60631,North America,Regional Post,WH-East,42.2,337.84,7,7,0,1
SHP-60632,Europe,Regional Post,WH-West,21.0,140.64,2,2,0,1
SHP-60633,North America,UPS Global,WH-East,26.4,125.91,6,6,0,1
SHP-60634,Latin America,DHL Express,WH-South,20.4,96.51,9,9,0,1
SHP-60635,Latin America,FedEx,WH-East,25.8,104.11,5,5,0,1
SHP-60636,Europe,DHL Express,WH-East,30.5,141.71,3,3,0,1
SHP-60637,Latin America,UPS Global,WH-South,1.4,20.38,7,7,0,1
SHP-60638,Europe,Regional Post,WH-Central,32.1,250.9,3,3,0,1
SHP-60639,Latin America,UPS Global,WH-East,10.2,70.4,7,7,0,1
SHP-60640,North America,DHL Express,WH-South,11.9,82.45,10,11,1,0
SHP-60641,North America,DHL Express,WH-West,2.0,25.74,3,3,0,1
SHP-60642,Europe,Regional Post,WH-West,2.6,29.16,8,8,0,1
SHP-60643,Asia Pacific,Regional Post,WH-Central,30.7,134.45,10,10,0,1
SHP-60644,Latin America,FedEx,WH-Central,1.2,16.35,9,10,1,0
SHP-60645,Latin America,UPS Global,WH-West,38.4,265.31,3,3,0,1
SHP-60646,North America,DHL Express,WH-East,39.5,335.28,10,11,1,0
SHP-60647,Europe,DHL Express,WH-West,15.2,97.96,2,2,0,1
SHP-60648,Europe,Regional Post,WH-South,32.5,199.67,8,8,0,1
SHP-60649,North America,FedEx,WH-South,37.6,316.37,8,9,1,0
SHP-60650,North America,FedEx,WH-Central,15.7,71.03,9,9,0,1
SHP-60651,Europe,DHL Express,WH-South,43.1,195.17,8,8,0,1
SHP-60652,Europe,UPS Global,WH-Central,14.2,80.03,4,4,0,1
SHP-60653,Asia Pacific,UPS Global,WH-East,3.0,28.94,3,3,0,1
SHP-60654,Latin America,Regional Post,WH-West,14.4,101.78,5,5,0,1
SHP-60655,North America,Regional Post,WH-West,7.7,39.3,5,5,0,1
SHP-60656,Latin America,UPS Global,WH-Central,10.9,50.32,3,4,1,0
SHP-60657,Europe,Regional Post,WH-West,6.4,51.61,9,9,0,1
SHP-60658,Europe,UPS Global,WH-South,21.6,156.73,2,2,0,1
SHP-60659,Latin America,FedEx,WH-Central,16.7,76.68,3,3,0,1
SHP-60660,Latin America,DHL Express,WH-West,34.9,189.2,4,4,0,1
SHP-60661,North America,DHL Express,WH-South,24.1,142.7,8,8,0,1
SHP-60662,Latin America,UPS Global,WH-Central,1.9,20.29,3,3,0,1
SHP-60663,Europe,Regional Post,WH-Central,26.4,160.39,8,9,1,0
SHP-60664,North America,FedEx,WH-East,31.8,168.05,10,10,0,1
SHP-60665,Latin America,Regional Post,WH-Central,3.8,31.58,4,4,0,1
SHP-60666,North America,DHL Express,WH-West,26.4,151.36,5,5,0,1
SHP-60667,North America,FedEx,WH-West,26.2,157.02,4,4,0,1
SHP-60668,North America,DHL Express,WH-West,42.6,166.65,5,6,1,0
SHP-60669,Asia Pacific,UPS Global,WH-West,22.5,112.49,9,9,0,1
SHP-60670,Asia Pacific,Regional Post,WH-West,8.0,50.9,9,12,3,0
SHP-60671,Asia Pacific,UPS Global,WH-Central,25.7,215.36,10,10,0,1
SHP-60672,Latin America,Regional Post,WH-East,12.1,106.66,4,4,0,1
SHP-60673,North America,Regional Post,WH-South,5.4,33.19,6,6,0,1
SHP-60674,Europe,Regional Post,WH-West,42.3,194.56,9,9,0,1
SHP-60675,Europe,UPS Global,WH-Central,42.3,303.88,6,6,0,1
SHP-60676,Latin America,DHL Express,WH-West,2.7,27.05,3,3,0,1
SHP-60677,North America,DHL Express,WH-South,35.7,167.37,4,5,1,0
SHP-60678,Latin America,Regional Post,WH-South,31.4,264.71,5,6,1,0
SHP-60679,Europe,DHL Express,WH-South,31.7,173.69,2,2,0,1
SHP-60680,Asia Pacific,DHL Express,WH-Central,23.3,123.74,6,6,0,1
SHP-60681,North America,DHL Express,WH-East,37.9,273.86,8,8,0,1
SHP-60682,North America,Regional Post,WH-East,33.9,226.56,10,10,0,1
SHP-60683,Latin America,FedEx,WH-East,1.8,24.15,5,5,0,1
SHP-60684,North America,Regional Post,WH-West,3.6,30.9,10,11,1,0
SHP-60685,Latin America,FedEx,WH-Central,2.5,24.06,6,6,0,1
SHP-60686,Asia Pacific,DHL Express,WH-East,21.7,187.31,6,11,5,0
SHP-60687,North America,Regional Post,WH-Central,16.6,92.95,5,6,1,0
SHP-60688,Asia Pacific,DHL Express,WH-West,43.1,353.67,2,4,2,0
SHP-60689,Asia Pacific,FedEx,WH-West,43.2,268.96,4,4,0,1
SHP-60690,Europe,FedEx,WH-East,40.9,313.46,10,10,0,1
SHP-60691,North America,Regional Post,WH-Central,40.1,302.32,2,2,0,1
SHP-60692,Asia Pacific,FedEx,WH-West,17.7,118.59,6,10,4,0
SHP-60693,Latin America,Regional Post,WH-East,43.1,290.72,5,6,1,0
SHP-60694,Europe,UPS Global,WH-Central,40.8,209.59,9,9,0,1
SHP-60695,Latin America,UPS Global,WH-South,7.1,65.69,5,7,2,0
SHP-60696,Europe,Regional Post,WH-East,34.9,285.73,5,5,0,1
SHP-60697,Latin America,UPS Global,WH-South,5.0,44.79,7,7,0,1
SHP-60698,Asia Pacific,UPS Global,WH-East,37.0,179.58,10,10,0,1
SHP-60699,North America,DHL Express,WH-West,13.4,116.22,4,6,2,0
SHP-60700,Europe,Regional Post,WH-West,16.4,115.84,7,8,1,0
SHP-60701,Europe,FedEx,WH-East,34.4,168.03,9,9,0,1
SHP-60702,North America,DHL Express,WH-West,27.7,162.0,9,9,0,1
SHP-60703,North America,UPS Global,WH-Central,15.8,124.49,6,8,2,0
SHP-60704,Europe,Regional Post,WH-West,22.3,134.95,5,5,0,1
SHP-60705,Asia Pacific,FedEx,WH-West,22.1,126.02,9,9,0,1
SHP-60706,Europe,Regional Post,WH-Central,4.6,49.05,5,5,0,1
SHP-60707,North America,DHL Express,WH-South,15.2,73.33,8,11,3,0
SHP-60708,Latin America,Regional Post,WH-Central,37.8,150.5,9,11,2,0
SHP-60709,North America,UPS Global,WH-East,29.5,146.18,5,5,0,1
SHP-60710,Europe,FedEx,WH-Central,18.1,141.06,7,7,0,1
SHP-60711,Asia Pacific,UPS Global,WH-East,34.4,141.3,5,5,0,1
SHP-60712,North America,DHL Express,WH-West,20.1,159.98,4,5,1,0
